Epoch,Train Loss,Precision,Recall,IoU,F1 Score,Accuracy,Specificity
1,0.5160979610433181,0.33936988712859234,0.9850504311674136,0.3376309425263915,0.5048192768159294,0.6412401006956953,0.5628621714612048
2,0.3004755928615729,0.5388238834483527,0.9644354982739565,0.5283262224147245,0.6913788622693128,0.8401545104100999,0.8118223586140177
3,0.2865928496668736,0.5386610488404696,0.9789058869286374,0.5324803232036287,0.6949261470326562,0.8404396782690923,0.808873742804629
4,0.24725011972089608,0.6094980029029674,0.9665848215237408,0.5969205519367962,0.7475895419002928,0.8788281531430115,0.8588223960886427
5,0.20506852629904945,0.2875672786283537,0.9834878253178625,0.2861855509513136,0.4450144082860198,0.5445987140754458,0.44454581672489274
6,0.19076871867602072,0.6322053953022785,0.9574178654856206,0.6149152221609305,0.7615448956362028,0.8886910034531476,0.8730234430238286
7,0.18368034574513634,0.485442580622843,0.9572847467214175,0.4751503207929136,0.6442059688364692,0.8036944034807276,0.7686806415698996
8,0.17428192576393486,0.5541304725755708,0.9731933865082001,0.5457996461341302,0.7061712654665349,0.8496508419685473,0.8214870319978219
9,0.1640239787225922,0.5694502491459563,0.96336462650712,0.5573799765543179,0.7157918875874,0.8579772157696551,0.8339522046257078
10,0.16717363082493344,0.5330290193235621,0.9586147500328059,0.5210389277325655,0.6851092608251463,0.8364081039208844,0.8085488367260828
11,0.15796662538001935,0.6566919904966123,0.956590728964985,0.6376887867373053,0.7787667497043128,0.8991010154702135,0.8859951710651833
12,0.162629979600509,0.6472730969092108,0.9517269198828744,0.6266981544667818,0.7705156027206637,0.8947549429681871,0.8817671262006055
13,0.1541146264442553,0.5996737044371725,0.9657098380451533,0.5871710417353759,0.739896364406166,0.873950881298406,0.8530327285231251
14,0.14268824628243842,0.5762370924770218,0.975738749924795,0.5680974806251796,0.7245690878843664,0.8622841079228206,0.83642002207655
15,0.1564516086379687,0.5695883100701044,0.9647545569490127,0.5579774641489107,0.7162843840667769,0.858116391756349,0.8338062479811491
16,0.14167495181473594,0.6672836117498617,0.9455222116474655,0.6425786337050667,0.7824022795860195,0.9023631862673361,0.892524287498843
17,0.13033254592369,0.6185022323954716,0.9631208912609189,0.6041929923623287,0.7532672131581829,0.8828678186070334,0.864572645100506
18,0.13933041770166407,0.6266166174018452,0.9441562046845487,0.6042227025781572,0.7532903026582367,0.8851885177216544,0.871745741905238
19,0.1252826182389011,0.6931136561453961,0.9170748264837176,0.6522355702372302,0.7895188579478184,0.9092235730086005,0.9074337344414158
20,0.1256686573009938,0.5061329825264382,0.9765644652486597,0.5000591893102165,0.6667192773108673,0.8187467811430565,0.7827693186281609
21,0.12454742412238072,0.6983501854329212,0.9262604949459874,0.6615698220511488,0.796319015031778,0.9120341364176198,0.9087909746415584
22,0.11658264566212892,0.7040738521520359,0.9170909333804539,0.6619404286456766,0.7965874314581722,0.9130490437708259,0.9121276202133591
23,0.11409441319294274,0.3706642414668414,0.9521686752124807,0.3638886422144898,0.5336046227698747,0.6909945265360455,0.6314550446515016
24,0.12182255593438943,0.7022510256623805,0.9187362055088429,0.6611815307639057,0.7960376617718076,0.9125973044623559,0.911197828329283
25,0.1102228997182101,0.717360179136792,0.9166686010733825,0.6734430011095318,0.8048592042430168,0.917480204909267,0.9176652250275633
26,0.11396262092826268,0.6748333320736905,0.9305795119326049,0.6424891268529731,0.7823359270377506,0.9038687494371398,0.8977795366732404
27,0.10923553611151875,0.6195027969132245,0.9305664842955388,0.5921322343147493,0.7438229332372029,0.8810030802526116,0.8697041848140508
